,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve,Autoencoders
62,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),COPOD,"0.1571 (0.1167, 0.2667)",0.4433333333333333,20231126194249:20231126194436:20231126194626:20231126194813:20231126194958
63,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122093155:20231122093326:20231122093500:20231122093637:20231122093814
64,Task 2 (25% Noise),4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0,20231122100412:20231122100600:20231122100749:20231122100937:20231122101129
65,Task 2 (25% Noise),4096,Adversarial AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231201165509:20231201165857:20231201170241:20231201170626:20231201171012
66,Task 2 (25% Noise),4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122080504:20231122080652:20231122080842:20231122081025:20231122081207
67,Task 2 (25% Noise),4096,Adversarial AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0,20231122080504:20231122080652:20231122080842:20231122081025:20231122081207
68,Task 2 (25% Noise),4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122092436:20231122092608:20231122092734:20231122092904:20231122093031
69,Task 2 (25% Noise),4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0,20231122080504:20231122080652:20231122080842:20231122081025:20231122081207
70,Task 2 (25% Noise),4096,Adversarial AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122103210:20231122103506:20231122103803:20231122104058:20231122104353
71,Task 2 (25% Noise),4096,Adversarial AE,RandomForestClassifier,"0.9492 (0.9100, 1.0000)",1.0,20240206223801:20240206224151:20240206224543:20240206224936:20240206225325
72,Task 2 (25% Noise),4096,Adversarial AE,GMM,"0.9030 (0.8333, 1.0000)",0.5,20240207004335:20240207004633:20240207004938
73,Task 2 (25% Noise),4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122080504:20231122080652:20231122080842:20231122081025:20231122081207
0,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122123628:20231122124048:20231122124423:20231122124847:20231122125314
1,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.9270 (0.9100, 0.9600)",0.91,20231130234809:20231130235140:20231130235455:20231130235812:20231201000126
2,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),GMM,"0.8727 (0.7778, 1.0000)",0.5,20240205221222:20240205221521:20240205222424
3,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),KNeighborsClassifier,"0.8655 (0.7667, 1.0000)",0.5,20231126232442:20231126232707:20231126232928:20231126233150:20231126233417
4,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.8655 (0.7667, 1.0000)",0.65,20231126232442:20231126232707:20231126232928:20231126233150:20231126233417
5,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.8554 (0.8333, 0.9167)",0.9583333333333334,20240207124817:20240207130336:20240207130939
6,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),HBOS,"0.6000 (0.4933, 0.8500)",0.425,20231130053129:20231130053443:20231130053759:20231130054111:20231130054424
7,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),COPOD,"0.1600 (0.1667, 0.1667)",0.5,20231130212639:20231130213015:20231130213347:20231130213716:20231130214102
8,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122123628:20231122124048:20231122124423:20231122124847:20231122125314
9,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122122149:20231122122439:20231122122729:20231122123018:20231122123308
10,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.9138 (0.8458, 1.0000)",0.9861111111111112,20240206185107:20240206185552:20240206190512:20240206191033
11,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),GMM,"0.8727 (0.7778, 1.0000)",0.5,20240207134829:20240207135212:20240207135925
12,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),KNeighborsClassifier,"0.8727 (0.7778, 1.0000)",0.5,20240207134829:20240207135212:20240207135925
13,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.8667 (0.7778, 1.0000)",0.75,20240206164233:20240206164834:20240206170554
14,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.8000 (0.8200, 0.8200)",0.795,20231125153312:20231125153458:20231125153643:20231125153831:20231125154017
15,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),HBOS,"0.6667 (0.6000, 0.7500)",0.375,20240206164233:20240206164834:20240206170554
16,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),COPOD,"0.1143 (0.2000, 0.0800)",0.39,20231129165530:20231129165833:20231129170135:20231129170438:20231129170743
17,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122044227:20231122044410:20231122044554:20231122044736:20231122044918
18,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122063245:20231122063607:20231122063925:20231122064244:20231122064606
19,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.9048 (1.0000, 0.8500)",0.95,20231127033932:20231127034254:20231127034619:20231127034940:20231127035303
20,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),GMM,"0.8727 (0.7778, 1.0000)",0.5,20240206162649:20240206163017:20240206163721
21,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.8727 (0.7778, 1.0000)",0.5666666666666668,20240206162649:20240206163017:20240206163721
22,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.8364 (0.7222, 1.0000)",0.5,20240207120836:20240207122234:20240207122718
23,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.8262 (0.7533, 0.9333)",0.888888888888889,20231130032347:20231130032649:20231130032947:20231130033249:20231130033550
24,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),HBOS,"0.5833 (0.5625, 0.6292)",0.3145833333333333,20240207120836:20240207121800:20240207122234:20240207122718
25,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),COPOD,"0.1333 (0.2000, 0.1000)",0.45,20231128141001:20231128153926:20231128154211:20231128154458:20231128154743
26,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122054213:20231122054408:20231122054606:20231122054750:20231122054935
27,Task 2 (10% Noise),4096,Vanilla AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0,20240206130117:20240206130919:20240206131627
28,Task 2 (10% Noise),4096,Vanilla AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231123044857:20231123045034:20231123045213:20231123045352:20231123045529
29,Task 2 (10% Noise),4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122051003:20231122051253:20231122051542:20231122051832:20231122052122
30,Task 2 (10% Noise),4096,Vanilla AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0,20240206130117:20240206130919:20240206131627
31,Task 2 (10% Noise),4096,Vanilla AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122051003:20231122051253:20231122051542:20231122051832:20231122052122
32,Task 2 (10% Noise),4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0,20231122051003:20231122051253:20231122051542:20231122051832:20231122052122
33,Task 2 (10% Noise),4096,Vanilla AE,RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0,20240206155703:20240206160244:20240206160816:20240206161352:20240206161922
34,Task 2 (10% Noise),4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122051003:20231122051253:20231122051542:20231122051832:20231122052122
35,Task 2 (10% Noise),4096,Vanilla AE,SVC,"0.9500 (0.9200, 1.0000)",1.0,20231130194354:20231130194841:20231130195328:20231130195814:20231130200300
36,Task 2 (10% Noise),4096,Vanilla AE,GMM,"0.8963 (0.8222, 1.0000)",0.75,20240205225249:20240205230332:20240205231334
37,Task 2 (10% Noise),4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122051003:20231122051253:20231122051542:20231122051832:20231122052122
38,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122123427:20231122123742:20231122124203:20231122124539:20231122125007
39,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.8651 (0.8250, 0.9167)",0.8090277777777778,20240206153202:20240206153800:20240206154354:20240206154906
40,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.8648 (0.8750, 0.9000)",0.69375,20240207124537:20240207125022:20240207130047:20240207130536
41,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),GMM,"0.8545 (0.7500, 1.0000)",0.5,20240207124537:20240207125022:20240207130047:20240207130536
42,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),KNeighborsClassifier,"0.8545 (0.7500, 1.0000)",0.5,20240207124537:20240207125022:20240207130047:20240207130536
43,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.8514 (0.9600, 0.7767)",0.8909722222222223,20231126031810:20231126032100:20231126032350:20231126032641:20231126032930
44,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),HBOS,"0.6511 (0.7267, 0.6833)",0.5583333333333333,20231128161946:20231128162233:20231128162522:20231128162809:20231128163056
45,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),COPOD,"0.3048 (0.3500, 0.3000)",0.5833333333333334,20231127054155:20231127054520:20231127054838:20231127055250:20231127055622
46,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122123427:20231122123742:20231122124203:20231122124539:20231122125007
47,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122050042:20231122050217:20231122050354:20231122050528:20231122050702
48,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.8740 (0.8500, 0.9375)",0.953125,20240205032636:20240205032928:20240205033227:20240205033519
49,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.8592 (0.7933, 0.9500)",0.7027777777777777,20231122044135:20231122044318:20231122044502:20231122044645:20231122044826
50,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),GMM,"0.8436 (0.7333, 1.0000)",0.5,20231126040045:20231126040449:20231126040850:20231126041248:20231126041647
51,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),KNeighborsClassifier,"0.8436 (0.7333, 1.0000)",0.5,20231126040045:20231126040449:20231126040850:20231126041248:20231126041647
52,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.8078 (0.6800, 1.0000)",0.6555555555555556,20231122044135:20231122044318:20231122044502:20231122044645:20231122044826
53,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),HBOS,"0.6743 (0.8333, 0.6467)",0.6900000000000001,20231130054715:20231130055029:20231130055339:20231130055658:20231130060017
54,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),COPOD,"0.4210 (0.5667, 0.4000)",0.55,20231126035122:20231126035313:20231126035507:20231126035659:20231126035851
55,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122044135:20231122044318:20231122044502:20231122044645:20231122044826
56,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0,20231122063053:20231122063410:20231122063730:20231122064050:20231122064409
57,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.8700 (0.8533, 0.9333)",0.8833333333333334,20240205040011:20240205040331:20240205040647:20240205040957:20240205041314
58,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),GMM,"0.8500 (0.7500, 1.0000)",0.5,20240206003114:20240206003446:20240206004201:20240206004523
59,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8500 (0.7500, 1.0000)",0.5,20240206003114:20240206003446:20240206004201:20240206004523
60,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.8311 (0.7533, 0.9600)",0.7905555555555556,20231122055021:20231122055327:20231122055633:20231122055938:20231122060243
61,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.7833 (0.6444, 1.0000)",0.9629629629629628,20240205040011:20240205040331:20240205040647
62,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),HBOS,"0.7000 (0.5867, 0.9500)",0.575,20231129054744:20231129055049:20231129055404:20231129055723:20231129060034
63,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),COPOD,"0.2933 (0.3333, 0.2667)",0.4833333333333334,20231129025144:20231129025441:20231129025736:20231129030031:20231129030335
64,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122054117:20231122054258:20231122054456:20231122054656:20231122054839
65,Task 2 (10% Noise),4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0,20231127085026:20231127085635:20231127091627:20231127092254:20231127092912
66,Task 2 (10% Noise),4096,Adversarial AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122150157:20231122150549:20231122150935:20231122151320:20231122151623
67,Task 2 (10% Noise),4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122050836:20231122051124:20231122051414:20231122051703:20231122051954
68,Task 2 (10% Noise),4096,Adversarial AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0,20231123044805:20231123044946:20231123045124:20231123045302:20231123045440
69,Task 2 (10% Noise),4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122050836:20231122051124:20231122051414:20231122051703:20231122051954
70,Task 2 (10% Noise),4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0,20231122050836:20231122051124:20231122051414:20231122051703:20231122051954
71,Task 2 (10% Noise),4096,Adversarial AE,RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122050836:20231122051124:20231122051414:20231122051703:20231122051954
72,Task 2 (10% Noise),4096,Adversarial AE,SVC,"1.0000 (1.0000, 1.0000)",1.0,20231126230523:20231126230901:20231126231241:20231126231619:20231126231949
73,Task 2 (10% Noise),4096,Adversarial AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231122070652:20231122070912:20231122071115:20231122071316:20231122071513
74,Task 2 (10% Noise),4096,Adversarial AE,GMM,"0.8944 (0.8167, 1.0000)",0.6666666666666666,20240206125912:20240206130320:20240206130723:20240206131117
75,Task 2 (10% Noise),4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122050836:20231122051124:20231122051414:20231122051703:20231122051954
0,Task 1,4096,Vanilla AE (0.75 Masked),GMM,"0.7733 (0.6333, 1.0000)",0.5,20231127021552:20231127021731:20231127021943:20231127022126:20231127022314
1,Task 1,4096,Vanilla AE (0.75 Masked),HBOS,"0.7133 (0.6000, 0.9000)",0.45,20231127021552:20231127021731:20231127021943:20231127022126:20231127022314
2,Task 1,4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.6730 (0.6767, 0.7500)",0.6902777777777778,20231201082639:20231201082835:20231201083031:20231201083224:20231201083422
3,Task 1,4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.6711 (0.6733, 0.7333)",0.6083333333333333,20231127021552:20231127021731:20231127021943:20231127022126:20231127022314
4,Task 1,4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.6457 (0.6000, 0.7500)",0.6472222222222223,20231129163034:20231129163222:20231129163409:20231129163557:20231130025816
5,Task 1,4096,Vanilla AE (0.75 Masked),COPOD,"0.5352 (0.7667, 0.4333)",0.5666666666666667,20231127021552:20231127021731:20231127021943:20231127022126:20231127022314
6,Task 1,4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122211638:20231122211828:20231122212017:20231122212213:20231122212407
7,Task 1,4096,Vanilla AE (0.50 Masked),GMM,"0.8400 (0.7333, 1.0000)",0.5,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
8,Task 1,4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.7925 (0.8433, 0.8000)",0.6875,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
9,Task 1,4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.6867 (0.6867, 0.7500)",0.46875,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
10,Task 1,4096,Vanilla AE (0.50 Masked),HBOS,"0.6533 (0.6867, 0.7167)",0.40625,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
11,Task 1,4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.6087 (0.7433, 0.5667)",0.6875,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
12,Task 1,4096,Vanilla AE (0.50 Masked),COPOD,"0.3886 (0.8000, 0.2833)",0.59375,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
13,Task 1,4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122121050:20231122121208:20231122121325:20231122121442:20231122121559
14,Task 1,4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.8387 (0.7778, 0.9167)",0.6749999999999999,20240205021552:20240205022121:20240205022406
15,Task 1,4096,Vanilla AE (0.25 Masked),GMM,"0.8364 (0.7222, 1.0000)",0.5,20240207105810:20240207110106:20240207110404
16,Task 1,4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.8364 (0.7222, 1.0000)",0.5,20240207105810:20240207110106:20240207110404
17,Task 1,4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.7000 (0.6833, 0.7633)",0.6788888888888889,20240207105214:20240207105513:20240207105810:20240207110106:20240207110404
18,Task 1,4096,Vanilla AE (0.25 Masked),HBOS,"0.6971 (0.6200, 0.9200)",0.4599999999999999,20231130192209:20231130192413:20231130192633:20231130192835:20231130193031
19,Task 1,4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.6310 (0.8125, 0.5583)",0.6475694444444444,20240207105513:20240207105810:20240207110106:20240207110404
20,Task 1,4096,Vanilla AE (0.25 Masked),COPOD,"0.3619 (0.5000, 0.3133)",0.515,20240205021552:20240205021835:20240205022121:20240205022406:20240205022650
21,Task 1,4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231126222319:20231126222805:20231126223239:20231126223710:20231126224140
22,Task 1,4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231123031337:20231123031459:20231123031618:20231123031739:20231123031859
23,Task 1,4096,Vanilla AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231126015139:20231126015334:20231126015550:20231126015734:20231126015945
24,Task 1,4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0,20231123031337:20231123031459:20231123031618:20231123031739:20231123031859
25,Task 1,4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231123031337:20231123031459:20231123031618:20231123031739:20231123031859
26,Task 1,4096,Vanilla AE,COPOD,"0.9492 (0.9100, 1.0000)",0.9166666666666666,20231123031337:20231123031459:20231123031618:20231123031739:20231123031859
27,Task 1,4096,Vanilla AE,HBOS,"0.9214 (0.8700, 1.0000)",0.9,20231126015139:20231126015334:20231126015550:20231126015734:20231126015945
28,Task 1,4096,Vanilla AE,GMM,"0.7972 (0.6667, 1.0000)",0.6458333333333334,20240205183152:20240205183321:20240205183629:20240205183806
29,Task 1,4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231123031337:20231123031459:20231123031618:20231123031739:20231123031859
30,Task 1,4096,Adversarial AE (0.75 Masked),GMM,"0.7533 (0.6333, 1.0000)",0.5,20231129162937:20231129163128:20231129163315:20231129163501:20231130025721
31,Task 1,4096,Adversarial AE (0.75 Masked),HBOS,"0.7433 (0.7500, 0.8500)",0.65625,20231129162937:20231129163128:20231129163315:20231129163501:20231130025721
32,Task 1,4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.6944 (0.6000, 0.8933)",0.6266666666666667,20231201082542:20231201082736:20231201082933:20231201083128:20231201083323
33,Task 1,4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.6576 (0.6633, 0.7167)",0.5520833333333333,20231129162937:20231129163128:20231129163315:20231129163501:20231130025721
34,Task 1,4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.6110 (0.6867, 0.6833)",0.7138888888888889,20231127021424:20231127021641:20231127021841:20231127022034:20231127022219
35,Task 1,4096,Adversarial AE (0.75 Masked),COPOD,"0.4244 (0.4100, 0.4667)",0.46875,20231129162937:20231129163128:20231129163315:20231129163501:20231130025721
36,Task 1,4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122211540:20231122211730:20231122211920:20231122212111:20231122212309
37,Task 1,4096,Adversarial AE (0.50 Masked),GMM,"0.7418 (0.6000, 1.0000)",0.5,20231126115115:20231126115340:20231126115606:20231126115824:20231126120039
38,Task 1,4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.7252 (0.6000, 0.9333)",0.6488888888888888,20231126115115:20231126115340:20231126115606:20231126115824:20231126120039
39,Task 1,4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.6690 (0.5867, 0.9000)",0.7083333333333334,20231122121009:20231122121129:20231122121245:20231122121402:20231122121521
40,Task 1,4096,Adversarial AE (0.50 Masked),HBOS,"0.6438 (0.5433, 0.8267)",0.4133333333333333,20231126115115:20231126115340:20231126115606:20231126115824:20231126120039
41,Task 1,4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.6333 (0.5667, 0.8333)",0.5166666666666666,20231122121009:20231122121129:20231122121245:20231122121402:20231122121521
42,Task 1,4096,Adversarial AE (0.50 Masked),COPOD,"0.5400 (0.7333, 0.4467)",0.5650000000000001,20231128152929:20231128153115:20231128153258:20231128153440:20231128153624
43,Task 1,4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231122121009:20231122121129:20231122121245:20231122121402:20231122121521
44,Task 1,4096,Adversarial AE (0.25 Masked),HBOS,"0.8451 (0.7867, 0.9500)",0.6083333333333334,20231130192112:20231130192313:20231130192510:20231130192729:20231130192931
45,Task 1,4096,Adversarial AE (0.25 Masked),GMM,"0.8364 (0.7222, 1.0000)",0.5,20240205021701:20240205021946:20240205022516
46,Task 1,4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8364 (0.7222, 1.0000)",0.5,20240205021701:20240205021946:20240205022516
47,Task 1,4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.7752 (0.7600, 0.7933)",0.6261111111111111,20231130192112:20231130192313:20231130192510:20231130192729:20231130192931
48,Task 1,4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.7752 (0.7200, 0.8700)",0.5305555555555556,20231130192112:20231130192313:20231130192510:20231130192729:20231130192931
49,Task 1,4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.7576 (0.7367, 0.8200)",0.6411111111111112,20231130192112:20231130192313:20231130192510:20231130192729:20231130192931
50,Task 1,4096,Adversarial AE (0.25 Masked),COPOD,"0.4076 (0.6500, 0.3533)",0.51,20231130192112:20231130192313:20231130192510:20231130192729:20231130192931
51,Task 1,4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231126222033:20231126222503:20231126222952:20231126223423:20231126223854
52,Task 1,4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0,20240205183102:20240205183234:20240205183402:20240205183539:20240205183715
53,Task 1,4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231126015032:20231126015244:20231126015441:20231126015656:20231126015846
54,Task 1,4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0,20231126015032:20231126015244:20231126015441:20231126015656:20231126015846
55,Task 1,4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0,20231126015032:20231126015244:20231126015441:20231126015656:20231126015846
56,Task 1,4096,Adversarial AE,HBOS,"0.9778 (0.9600, 1.0000)",0.95,20240205183102:20240205183234:20240205183402:20240205183539:20240205183715
57,Task 1,4096,Adversarial AE,XGBClassifier,"0.9714 (0.9500, 1.0000)",0.9666666666666666,20231126015032:20231126015244:20231126015441:20231126015656:20231126015846
58,Task 1,4096,Adversarial AE,GMM,"0.8632 (0.7700, 1.0000)",0.7,20240205183102:20240205183234:20240205183402:20240205183539:20240205183715
59,Task 1,4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5,20231123031254:20231123031419:20231123031540:20231123031700:20231123031820
